date,username,product,sku,model,quantity,unit_type,applied_cost_per_quantity,gross_amount,discount_amount,net_amount,exceeds_quota,total_monthly_quota,organization,cost_center_name,aic_quantity,aic_gross_amount
2026-09-01,dev-001,copilot,copilot_ai_credits,"gpt-5.6-luna, long context",2661,AI Credits,0.01,26.61,0.00,26.61,true,1900,acme-eng,platform,2661,26.61
2026-09-01,dev-003,copilot,copilot_ai_credits,gpt-5.4-nano,1184,AI Credits,0.01,11.84,0.00,11.84,false,1900,acme-eng,platform,1184,11.84
2026-09-01,dev-006,copilot,copilot_ai_credits,gpt-5.4-nano,397,AI Credits,0.01,3.97,0.00,3.97,false,1900,acme-eng,platform,397,3.97
2026-09-01,dev-007,copilot,copilot_ai_credits,gemini-3-flash,538,AI Credits,0.01,5.38,0.00,5.38,false,1900,acme-eng,,538,5.38
2026-09-01,dev-010,copilot,copilot_ai_credits,gemini-3-flash,247,AI Credits,0.01,2.47,0.00,2.47,false,1900,acme-eng,platform,247,2.47
2026-09-01,dev-012,copilot,copilot_ai_credits,claude-sonnet-5,375,AI Credits,0.01,3.75,0.00,3.75,false,1900,acme-eng,platform,375,3.75
2026-09-01,dev-015,copilot,copilot_ai_credits,claude-fable-5,192,AI Credits,0.01,1.92,0.00,1.92,false,1900,acme-eng,platform,192,1.92
2026-09-01,dev-023,copilot,copilot_ai_credits,,0,AI Credits,0.01,0.00,0.00,0.00,false,1900,acme-eng,platform,0,0.00
2026-09-01,dev-024,copilot,copilot_ai_credits,,0,AI Credits,0.01,0.00,0.00,0.00,false,1900,acme-eng,platform,0,0.00
2026-09-01,dev-025,copilot,copilot_ai_credits,,0,AI Credits,0.01,0.00,0.00,0.00,false,1900,acme-eng,platform,0,0.00
2026-09-02,dev-002,copilot,copilot_ai_credits,claude-fable-5,1791,AI Credits,0.01,17.91,0.00,17.91,false,1900,acme-eng,platform,1791,17.91
2026-09-02,dev-004,copilot,copilot_ai_credits,gpt-5.6-luna,325,AI Credits,0.01,3.25,0.00,3.25,false,1900,acme-eng,platform,325,3.25
2026-09-02,dev-007,copilot,copilot_ai_credits,gemini-3-flash,839,AI Credits,0.01,8.39,0.00,8.39,false,1900,acme-eng,,839,8.39
2026-09-02,dev-008,copilot,copilot_ai_credits,gpt-5.4-nano,699,AI Credits,0.01,6.99,0.00,6.99,false,1900,acme-eng,platform,699,6.99
2026-09-02,dev-010,copilot,copilot_ai_credits,gemini-3-flash,729,AI Credits,0.01,7.29,0.00,7.29,false,1900,acme-eng,platform,729,7.29
2026-09-02,dev-012,copilot,copilot_ai_credits,claude-fable-5,161,AI Credits,0.01,1.61,0.00,1.61,false,1900,acme-eng,platform,161,1.61
2026-09-02,dev-014,copilot,copilot_ai_credits,claude-fable-5,360,AI Credits,0.01,3.60,0.00,3.60,false,1900,acme-eng,platform,360,3.60
2026-09-02,dev-017,copilot,copilot_ai_credits,claude-fable-5,147,AI Credits,0.01,1.47,0.00,1.47,false,1900,acme-eng,platform,147,1.47
2026-09-02,dev-018,copilot,copilot_ai_credits,gemini-3-flash,140,AI Credits,0.01,1.40,0.00,1.40,false,1900,acme-eng,platform,140,1.40
2026-09-02,dev-019,copilot,copilot_ai_credits,claude-fable-5,43,AI Credits,0.01,0.43,0.00,0.43,false,1900,acme-eng,platform,43,0.43
2026-09-02,dev-021,copilot,copilot_ai_credits,claude-sonnet-5,130,AI Credits,0.01,1.30,0.00,1.30,false,1900,acme-eng,platform,130,1.30
2026-09-03,dev-004,copilot,copilot_ai_credits,gemini-3-flash,286,AI Credits,0.01,2.86,0.00,2.86,false,1900,acme-eng,platform,286,2.86
